drugbank_id,twosides_id,canonical_smiles_match,inchikey_match,mapping_confidence
DB09389,CID000004542,True,True,HIGH_EXACT
DB00934,CID000004011,True,True,HIGH_EXACT
DB00257,CID000002812,True,True,HIGH_EXACT
DB01006,CID000003902,True,True,HIGH_EXACT
DB00564,CID000002554,True,True,HIGH_EXACT
DB00544,CID000003385,True,True,HIGH_EXACT
DB00381,CID000002162,True,True,HIGH_EXACT
DB00545,CID000004991,True,True,HIGH_EXACT
DB00593,CID000003291,True,True,HIGH_EXACT
DB00559,CID000104865,True,True,HIGH_EXACT
DB01249,CID000003724,True,True,HIGH_EXACT
DB01026,CID000003823,True,True,HIGH_EXACT
DB00422,CID000004158,True,True,HIGH_EXACT
DB00732,CID000047320,True,True,HIGH_EXACT
DB00238,CID000004463,True,True,HIGH_EXACT
DB00648,CID000004211,True,True,HIGH_EXACT
DB01043,CID000004054,True,True,HIGH_EXACT
DB01124,CID000005505,True,True,HIGH_EXACT
DB00490,CID000002477,True,True,HIGH_EXACT
DB00201,CID000002519,True,True,HIGH_EXACT
DB00440,CID000005578,True,True,HIGH_EXACT
DB00962,CID000005719,True,True,HIGH_EXACT
DB00734,CID000005073,True,True,HIGH_EXACT
DB01004,CID000003454,False,True,HIGH_INCHIKEY
DB00712,CID000003394,True,True,HIGH_EXACT
DB00481,CID000005035,True,True,HIGH_EXACT
DB00843,CID000003152,True,True,HIGH_EXACT
DB00204,CID000071329,True,True,HIGH_EXACT
DB00672,CID000002727,True,True,HIGH_EXACT
DB00499,CID000003397,True,True,HIGH_EXACT
DB01611,CID000003652,True,True,HIGH_EXACT
DB01241,CID000003463,True,True,HIGH_EXACT
DB00501,CID000002756,False,True,HIGH_INCHIKEY
DB01156,CID000000444,True,True,HIGH_EXACT
DB00195,CID000002369,True,True,HIGH_EXACT
DB01035,CID000004913,True,True,HIGH_EXACT
DB00196,CID000003365,True,True,HIGH_EXACT
DB00356,CID000002733,True,True,HIGH_EXACT
DB01032,CID000004911,True,True,HIGH_EXACT
DB00745,CID000004236,True,True,HIGH_EXACT
DB00270,CID000003784,True,True,HIGH_EXACT
