inference_id,evidence_id,evidence_type,graph_edge_id,source_node_id,target_node_id
INF_0000001,EV_0000001,SUPPORTING_GRAPH_EDGE,E_SE_01192345,DRUG_000045,DRUG_000048
INF_0000001,EV_0000002,SUPPORTING_GRAPH_EDGE,E_SE_01192346,DRUG_000045,DRUG_000048
INF_0000001,EV_0000003,SUPPORTING_GRAPH_EDGE,E_SE_01192347,DRUG_000045,DRUG_000048
INF_0000001,EV_0000004,SUPPORTING_GRAPH_EDGE,E_SE_01192348,DRUG_000045,DRUG_000048
INF_0000001,EV_0000005,SUPPORTING_GRAPH_EDGE,E_SE_01192349,DRUG_000045,DRUG_000048
INF_0000002,EV_0000006,SUPPORTING_GRAPH_EDGE,E_DDI_000001,DRUG_001202,DRUG_000302
INF_0000005,EV_0000007,SUPPORTING_GRAPH_EDGE,E_DDI_166133,DRUG_000006,DRUG_000048
INF_0000005,EV_0000008,SUPPORTING_GRAPH_EDGE,E_SE_02061836,DRUG_000006,DRUG_000048
INF_0000005,EV_0000009,SUPPORTING_GRAPH_EDGE,E_SE_02061837,DRUG_000006,DRUG_000048
INF_0000005,EV_0000010,SUPPORTING_GRAPH_EDGE,E_SE_02061838,DRUG_000006,DRUG_000048
INF_0000005,EV_0000011,SUPPORTING_GRAPH_EDGE,E_SE_02061839,DRUG_000006,DRUG_000048
INF_0000005,EV_0000012,SUPPORTING_GRAPH_EDGE,E_SE_02061840,DRUG_000006,DRUG_000048
INF_0000006,EV_0000013,SUPPORTING_GRAPH_EDGE,E_DDI_000002,DRUG_000653,DRUG_000302
INF_0000007,EV_0000014,SUPPORTING_GRAPH_EDGE,E_DDI_000003,DRUG_001642,DRUG_000302
INF_0000008,EV_0000015,SUPPORTING_GRAPH_EDGE,E_DDI_000004,DRUG_001148,DRUG_000302
INF_0000009,EV_0000016,SUPPORTING_GRAPH_EDGE,E_DDI_000005,DRUG_001482,DRUG_000302
INF_0000010,EV_0000017,SUPPORTING_GRAPH_EDGE,E_DDI_000006,DRUG_001678,DRUG_000302
INF_0000011,EV_0000018,SUPPORTING_GRAPH_EDGE,E_DDI_000007,DRUG_000383,DRUG_000302
INF_0000012,EV_0000019,SUPPORTING_GRAPH_EDGE,E_DDI_000008,DRUG_001293,DRUG_000302
INF_0000013,EV_0000020,SUPPORTING_GRAPH_EDGE,E_DDI_000009,DRUG_001178,DRUG_000302
INF_0000014,EV_0000021,SUPPORTING_GRAPH_EDGE,E_DDI_000010,DRUG_000015,DRUG_000302
INF_0000015,EV_0000022,SUPPORTING_GRAPH_EDGE,E_DDI_000011,DRUG_000623,DRUG_000302
INF_0000016,EV_0000023,SUPPORTING_GRAPH_EDGE,E_DDI_000012,DRUG_001438,DRUG_001662
INF_0000017,EV_0000024,SUPPORTING_GRAPH_EDGE,E_DDI_000013,DRUG_001438,DRUG_000263
INF_0000018,EV_0000025,SUPPORTING_GRAPH_EDGE,E_DDI_000014,DRUG_000485,DRUG_001267
INF_0000019,EV_0000026,SUPPORTING_GRAPH_EDGE,E_DDI_000015,DRUG_000886,DRUG_001267
INF_0000020,EV_0000027,SUPPORTING_GRAPH_EDGE,E_DDI_000016,DRUG_000231,DRUG_000350
INF_0000021,EV_0000028,SUPPORTING_GRAPH_EDGE,E_DDI_000017,DRUG_001520,DRUG_000861
INF_0000022,EV_0000029,SUPPORTING_GRAPH_EDGE,E_DDI_000018,DRUG_000843,DRUG_000931
INF_0000023,EV_0000030,SUPPORTING_GRAPH_EDGE,E_DDI_000019,DRUG_000231,DRUG_000304
INF_0000024,EV_0000031,SUPPORTING_GRAPH_EDGE,E_DDI_000020,DRUG_001438,DRUG_000540
INF_0000025,EV_0000032,SUPPORTING_GRAPH_EDGE,E_DDI_000021,DRUG_001089,DRUG_000613
INF_0000026,EV_0000033,SUPPORTING_GRAPH_EDGE,E_DDI_000022,DRUG_000767,DRUG_000176
INF_0000027,EV_0000034,SUPPORTING_GRAPH_EDGE,E_DDI_000023,DRUG_000274,DRUG_000608
INF_0000028,EV_0000035,SUPPORTING_GRAPH_EDGE,E_DDI_000024,DRUG_000231,DRUG_000485
